control_id,control_name,control_family,framework,result,severity,tested_date,tester,notes
AC-2,Account Management,Access Control,NIST 800-53,PASS,LOW,2025-04-01,R. Salhi,All accounts reviewed and validated
AC-6,Least Privilege,Access Control,NIST 800-53,PASS,LOW,2025-04-01,R. Salhi,Role assignments confirmed with IAM team
AC-17,Remote Access,Access Control,NIST 800-53,PASS,LOW,2025-04-02,R. Salhi,VPN enforced for all remote sessions
AC-18,Wireless Access,Access Control,NIST 800-53,REVIEW,MEDIUM,2025-04-02,R. Salhi,Guest network segmentation needs verification
AC-19,Mobile Device Access,Access Control,NIST 800-53,PASS,LOW,2025-04-03,R. Salhi,MDM policy enforced across all endpoints
AU-2,Event Logging,Audit and Accountability,NIST 800-53,REVIEW,MEDIUM,2025-04-05,R. Salhi,Log retention at 30 days; requirement is 90 days
AU-3,Content of Audit Records,Audit and Accountability,NIST 800-53,PASS,LOW,2025-04-05,R. Salhi,All required fields present in log records
AU-9,Protection of Audit Info,Audit and Accountability,NIST 800-53,PASS,MEDIUM,2025-04-06,R. Salhi,Audit logs write-protected and access-controlled
AU-12,Audit Record Generation,Audit and Accountability,NIST 800-53,PASS,LOW,2025-04-06,R. Salhi,Logging enabled across all in-scope systems
CM-2,Baseline Configuration,Configuration Management,NIST 800-53,REVIEW,MEDIUM,2025-04-08,R. Salhi,Baseline documented but not version-controlled
CM-6,Configuration Settings,Configuration Management,NIST 800-53,FAIL,HIGH,2025-04-08,R. Salhi,14 nodes deviate from approved baseline — see POAM-001
CM-7,Least Functionality,Configuration Management,NIST 800-53,PASS,LOW,2025-04-09,R. Salhi,Unnecessary services disabled on all servers
CM-8,System Component Inventory,Configuration Management,NIST 800-53,PASS,LOW,2025-04-09,R. Salhi,Asset inventory current and reconciled
IA-2,Multi-Factor Authentication,Identification and Authentication,NIST 800-53,PASS,LOW,2025-04-10,R. Salhi,MFA enforced for all privileged and remote accounts
